Artist,Artist_id,Song,Song_id,Lyrics
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ, No no no No no In peace In peace may you rest May you rest Never ever shoot below the neck Never ever You a rookie You a rookie I m a vet I m a vet That s why I got a Glock you got a TEC Got a TEC Not checkers Not checkers this chess It is chess I flooded out my Patek with baguettes I curve Tiffany yeah for Jess For who Need to get myself together I m a mess Straight up In Bikini Bottom I m with Sandy Sandy Moesha keep on drinkin all the brandy Brandy Keisha eat the molly like it s candy Yaeh yaeh Bodyslam a nigga like I m Randy Yaeh yaeh Yeah I m a hot hitter Straight up I m a guap getter Straight up Leave a thot bitter Straight up Get your block hit up Oh you think you in a group Get that shit split up On God Tryna suck me layin down I make that bitch sit up Straight up Yeah hot box dirty stick case closed Case closed We grill beef nigga charcoal Uh oh Sellin pussy her vajayjay got a barcode Uh oh These broke ass niggas need Jobco 21 Used to use EBT to get seafood What Now I Uber Eats when I want Kiku Straight up She wan na hang out and let the gang G you Facts Metro worth a lot of M s nigga me too Racks Hangin off my earlobes is a rock A rock Hangin off my waistline is a Glock Pop pop The body in that casket was a opp 21 I do nt throw no bottles I throw shots 21 All this drip on me I need a mop 21 Balenciaga boxers and the socks On God I got 10 freaky girls on a yacht Yacht Finna drown in em dawg finna drown in em 21 Last altercation got a hundred rounds in him On my mama All my spots got a lot of bloodhounds in em On your mama Ai nt no furniture it s just a lot of pounds in em Straight up Percs soft hard and I got the brown in em On God Word to bombaclaat shotta we do nt ramp in em 21 Edgewood Glenwood Bouldercrest and the Hamp with em Six Got a lot of sticks you can get stamped with em On God Tryna mediate the beef you get found with em Straight up All these chains rest in peace to Harriet Tubman Harriet Tubman Niggas broke cause they doin too much clubbin Too much clubbin Cashed out on all my cards cause I m stubborn Cause I m stubborn Zone 6 against the world that s how I m comin How I m comin I came out the womb I was thuggin Straight up Ai nt no fistfights niggas uppin Straight up Rappers say they want smoke but they bluffin On God When you see em facetoface it ai nt nothin Straight up Hangin off my earlobes is a rock A rock Hangin off my waistline is a Glock Pop pop The body in that casket was a opp 21 I do nt throw no bottles I throw shots 21 All this drip on me I need a mop 21 Balenciaga boxers and the socks On God I got 10 freaky girls on a yacht Yacht I got 10 freaky girls on a yacht You know I was racin down the highway earlier today ridin down 20 I happened to see a nigga I robbed back in the day You know what He was happy to see me
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Ric Flair Drip (& Metro Boomin),7sO5G9EABYOXQKNPNiE9NR, Bijan 4 The 1 Time Metro Boomin want some more nigga hey Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide I m tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar I m a fool with the hits ayy Hop up in the Lamb and drop the roof show the tits skrt Poppin but you really not gon shoot pop Ninety pointers down my diamonds look like hula hoops ninety Hopping in my Bentayga and her seat is a masseuse hey Balenciaga check my posture Valentino boots oooo It s the Boominati way a lotta Lambs a lotta Wraiths Boominati Never hesitate to give a nigga yellow tape grrt Ai nt worried bout the bag cause the cash accumulatin bags Soon as we came in the game all these niggas they imitate it hey Put my mind on it then I put my grind on it grind Put the iron on him if a nigga my opponent iron My car fivehundred and I do nt put no miles on it ho I was runnin round homie with fivehundred thou on me ho Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide I m tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar I m a fool with the hits ayy Hop up in the Lamb and drop the roof show the tits Offset Told my fam got the gang with me gang with me Bought my first Patek it got some rain on it Patek Nigga we used to kick it how you hatin on me how how Hop in the Bentley coupe and blow the brains out it skrrt We not the same my nigga My nigga we from the north division north nawf Aim at your brain yea we bought ya just like it s an auction ai nt it hey Beat the chopper hundred round total like it s car collision brrtbrrt I made that shit mandatory that means I had to get it hey My shooter be begging please he ready to wack a nigga please please I gave a nigga a diamond I had to cap a nigga woo I m giving your ho away like she a raffle nigga here here We get at it then we gone pray with the pastor s scriptures hey Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide I m tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar I m a fool with the hits ayy Hop up in the Lamb and drop the roof show the tits skrt Going to the jeweler bust the AP yeah bust it Slide on the water like a jetski yeah woo slide I m tryna fuck you and your bestie yeah hey Chopper with the scope so do not test me drrt yeah drrt Ric Flair drip go woo on a bitch woo Fiftyseven ninety split the coupe on my wrist ice Multimillion dollar I m a fool with the hits ayy Hop up in the Lamb and drop the roof show the tits skrt
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Don't Come Out The House (with 21 Savage),2Grb4G6t9VIqo6moKUloom, Bang outside I hang outside Do nt come out the house cause the gang outside Bang outside I hang outside Do nt come out the house cause the gang outside Bang outside hang outside Do nt come out the house cause the gang outside Bang outside hang outside Do nt come out the house cause the gang outside 13 got my first stripe first stripe Glenwood road where they shiest nigga Slaughter Gang so I keep a knife nigga We was broke so all we ate was rice nigga Paid the J s to cut on my mama s lights nigga Come get your bitch she tryna spend the night nigga Straight up You a bitch that make her a dyke nigga Pussy All these bodies I ca nt sleep at night nigga Yall must thought that I was gon whisper the whole time 21 I ran out of weed I sent your bitch out of town On God Gave her fifteen hundred and she came back with pounds Straight up Rappers think they it but they really just clowns On God Gucci store a hundred thou that s just in a day On God Always cheatin I m a dog think I need a cage On God Savage loaded chips and dip I m not talkin bout Lays 21 Throwback Rafs call em retros I m not talkin bout J s 21 First name 21 last name Hefner I got too many freaks 21 Levi jeans low selfesteem he on BlackPeopleMeet 21 Look like Maya she s on fire who got the keys to my Jeep Straight up Who want smoke cause I want smoke I had a wet dream about beef 21 Bang outside hang outside Do nt come out the house cause the gang outside Bang outside I hang outside Do nt come out the house cause the gang outside Kids see my car they get to playin Bingo Skrrt skrrt Offbrand rappers stealin all the lingo I did that first Thirty on my hip the label want a singles On God I green light hits I do nt make jingles Straight up Shut your damn mouth fore you drop nigga Drop nigga Last nigga dissed me dropped nigga Straight up I want smoke nigga all nigga On God Savage kill all of his opps nigga 21 Smoke the mall last week ball nigga 21 Slaughter Gang yeah we brawl nigga Straight up 4L Gang lot of shots nigga Savage kill all of his opps nigga Pussy If Young Metro do nt trust you I m gon shoot you Tay Keith fuck these niggas up
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz, Yeah ooh Metro on these Boominati wave uh We ve done it with robotic arm on the space shuttle We ve done it with direct launch of modules Prepare for lightspeed Bought a spaceship now I m a space cadet Space cadet Big white mansion in my habitat Habitat Aim a lot of sticks like it s laser tag Laser tag Fuck a rich bitch havin rich sex Rich sex Smoke a lot of trees need a weed plant Weed plant Addicted to codeine where the lean at Where the lean at Sleepin on these G s it s a beanbag Beanbag Got Rick Owen jeans cost a cool rack Cool rack Check came from my fans life is fantastic Fantastic I was broke as hell sleepin on the mattress On the mattress I felt like it s Hell was nt nobody happy Hot shells droppin out the semiautomatic Hot shells Ran it up bought a condo got a new addy Ran it up Got the VVs with a Vlone jean jacket VVs They ca nt see me even if you had 3D glasses 3D glasses Bad bitch in the bikini she from Calabasas Calabasas Got a pocket full of bleu cheese and some green relish I m a psycho for these hundreds got a cash fetish Cash fetish I ve been studyin these hundreds I m a mathematic And this love make me wan na buy my dad a Caddy Cause the love got me geeked up I do nt need an Addy Dracos let these niggas know we warready Cause Expensive clothes on my bitches we ai nt ballcappin Alien feel like I m livin on my own planet Bought a spaceship now I m a space cadet Space cadet Big white mansion in my habitat Habitat Aim a lot of sticks like it s laser tag Laser tag Fuck a rich bitch havin rich sex Rich sex Smoke a lot of trees need a weed plant Weed plant Addicted to codeine where the lean at Where the lean at Sleepin on these G s it s a beanbag Beanbag Got Rick Owen jeans cost a cool rack Cool rack Chanel shoes overseas they was patent leather Shop in Tokyo Japan they the best ever Blueberry tshirt sleeve on leather Hardtop turn the vert ride in any weather You ai nt got ta bend down this ai nt the propeller Me and Wheezy spent a dime coppin Gucci sweaters Steady drippin nigga drownin I can not help him It s the Boominati guys we are not the devil Boominati Got Columbia and ties out in Mexico Mexico Wash the Benz a hundred times still smell dope Smell dope Got some pain we feel apply and feel like velcro A bitch fine and love shoppin at Rodeo Yeah I be iffy do nt want cop if it s a day old Ai nt stingy my bro Gunna get a payroll I just want the pretty women and the pesos I can only hear the engine in this Lambo Bought a spaceship now I m a space cadet Space cadet Big white mansion in my habitat Habitat Aim a lot of sticks like it s laser tag Laser tag Fuck a rich bitch havin rich sex Rich sex Smoke a lot of trees need a weed plant Weed plant Addicted to codeine where the lean at Where the lean at Sleepin on these G s it s a beanbag Beanbag Got Rick Owen jeans cost a cool rack Cool rack Bought a spaceship now I m a space cadet Space cadet Big white mansion in my habitat Habitat Aim a lot of sticks like it s laser tag Laser tag Fuck a rich bitch havin rich sex Rich sex Smoke a lot of trees need a weed plant Weed plant Addicted to codeine where the lean at Where the lean at Sleepin on these G s it s a beanbag Beanbag Got Rick Owen jeans cost a cool rack Cool rack Yeah No no New coupe I m a space cadet yeah No no Metro bought me two Pateks ooh No no Is it drippin Got a nigga wet No no You on the Boominati wave
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM, Overtime and overdue Due Ai nt no sleep that is old news Old news Been outside that s with the crew Yeah Made my night up on the move On the move In the morning get the news Check the news She come home I heard the zoom Skr skr I step outside I need my piece Peace Take one down to hit my peak Yeah yeah yeah I feel I overuse myself I overuse myself I feel I mean I overdid myself I overdid myself I feel I mean I overuse my nights I overdid my nights I overdid my nights Yeah Hit the lights and hit a right Right Took everything ai nt nothing left Ai nt left Count your blessings count your steps Straight up At your throat like we that strep It s way too cold under this flesh Yeah All we we ball but we do nt mesh Ball All we we drink leave us a mess Drinking Down on my drugs it is old news Yeah I m with the hero 21 but we knew this whoa Them the ones you see me when they all leave The Glock on tip though God lit when we Chevy 21 They already know there s not too many About to click though Yeah this shit been busy Chasing after paper come and get me Me Like I m sick though sippin plenty Sip We been outside going in 21
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Dreamcatcher (feat. Swae Lee & Travis Scott),22ykS8KWpd2r4zcRZ0XMK5, When you come back in here we gon be like ay Trust me bitch trust me Hypnotize me with that motion Girl you might even provoke me To spend spend all I ve got I can get it back real quick Give you an experience Like you ve never had before Dream catch you in your thought yeah How d you get so fine Ay I can make you go night night I can make you go night night You be down for whatever When I pour it up I do nt measure Hey Say you love me fiveever Our love was sudden Make this bitch jump like a step team See my diamonds can you say Wet dream First let me close the bamboo blinds She do nt say my name but she got ta scream it Dancin in the strobe lights With your eyes on me I do nt need to know your sign Do you see somethin you like I know what you re into I know what you re into I know what you re into Hey yeah I ca nt take your call I need face time Rode the metro took the bassline Took all the good stuff now it ai nt mine Hey You ve been gone for forever How much I miss your love I ca nt measure No Know you got another special But just for this night go up a level Hey When we pop outside let you take lead Lead She just treat the dick like a jetski Skeet skeet I was posted up like a set piece Piece Where you get these from I ca nt take these Down yeah I m the one number one I ve done finally found my home between the moon and the sun Every time we come around just know it move and it run Man it s crazy all my youngins got ta move with a gun Drop it down drop it down way you do it Know you come from out of town I ve been stuck off in my ways I ve been workin on it On some on my own time do nt be waitin on me I ve been zoned out in the days it s an air burst I ve been livin through a maze on my Fred Durst Get that shit from out my way make the mess worse To the AM I make my rounds Not a peep do nt hear a sound Now you know if you ai nt know it now you know Wonder what you re into I know what you re into I know what you re into Into I know what you re into I know what you re into I know what you re into Into I know what you re into I know what you re into I know what you re into Hey Dancin in the strobe lights With your eyes on me I do nt need to know your sign Do you see somethin you like I know what you re into I know what you re into I know what you re into
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"No More (feat. Travis Scott, Kodak Black & 21 Savage)",42k9e2hgl98IdgkXLg4pxs, You know the comedown we really feeling soothing The come up got em all oozing Took a one way to take it out of Houston Took the Metro and we was still booming I just pour till I ca nt pour no more I slow down but it ai nt slow no more I stack up cause it do nt fold no more I pour up till I ca nt pour no more I slow down but it ai nt slow no more I stack up cause it do nt fold no more Nowadays I be on ecstasy when I m bored I do nt even know who keep it real anymore All that living fast pour the lean make ya snore You know I ai nt that nigga to be played do your homework If I could do it all over I d make the same mistakes All that fucking over made me who I am today Slime Maybach with the drapes you ca nt see me crash I was in the school do nt see you pass I tried the Percy but it ai nt work and I m a still pop em Drinking purple smokin purp I need to see a body All that pain I m poppin molly like a antibiotic I ca nt help that I m a zombie I ca nt heal my heartache I pop pills till I ca nt feel no more Tryna be faded but I ca nt hold no more I wanted fame but I do nt know no more I pop pills till I ca nt feel no more Tryna be faded but I ca nt hold no more I wanted fame but I do nt know no more Tried love but I ca nt no more Nah Tryna find loyalty it ai nt no more Nah Told myself I was nt gon na drink no more On God It s like the styrofoam glued to me though Straight up I feel weak for using drugs to ease the pain 21 From the street concrete in my vein Straight up Lil bit of change make a nigga change On God Different tax bracket but my number still the same Facts I done seen dope turn a nigga who had hope To a nigga with no hope hung himself by a rope Straight up No joke cause he did nt know the ropes And he served an undercover judge gave his ass a boat Facts I done seen fame turn a nigga on his bro Turn a bitch into a nigga nigga turned into a ho 21 Identity crisis people do nt know who they is Cause these bitches act like niggas And these niggas act like hoes Straight up Shooting for the moon but the stars just fine 21 Tryna make a dollar and I m short nine dimes 21 You know I m a hustler Ima grind bout mine 21 Long as I got Metro nigga I m gon shine I sip drank until I ca nt no more Pour up the lean until I ca nt no more One more cup I think I just might snore I sip drank until I ca nt no more Pour up the lean until I ca nt no more One more cup I think I just might snore I just pour till I ca nt pour no more I slow down but it ai nt slow no more I stack up cause it do nt fold no more I pop pills till I ca nt feel no more Tryna be faded but I ca nt hold no more I wanted fame but I do nt know no more Lord save the world Lord save the world Lord save the world Lord save the world Lord save the world Lord save the world Lord save the world From this hunger for power Lord save the world From certain destruction s hour Motherfuckers can not listen to that fuckin save the world shit No I do nt like it We are totally against that shit You stream it iPhone or your phone whatever I m taking the shit and I m here to tell you I m here to keep rap the fucking same He s trying to save it I m not You ll all be heroes
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Borrowed Love (feat. Swae Lee & WizKid),0NA5xAtDra50d0Lfs2uvoh, After laughter comes tears After laughter comes tears It s just hope you gon end up feelin sorrow Melatonin baby take it this time We do nt wan na end up hurtin tomorrow Long term or temporary I ca nt decide How much of my love can you borrow Tighten up baby yes I fell for you almost Tried my best to build you up from the bottom She wetter than a river Body say so much she got me off the bottle I m finally freed up She freaky as fuck I leave she gon follow She gave me a sign My fingers on her panty line Rollin up a dandelion Took a sec just to catch the vibe Second guessin that s something I never wan na do Crack under pressure that s something I m never gon na do Melatonin baby take it this time We do nt wan na end up hurtin tomorrow Long term or temporary I ca nt decide How much of my love can you borrow Tighten up baby yes I fell for you almost Tried my best to build you up from the bottom Baby girl just turn off the light turn off the light Baby show me love baby turn off the light Baby ease my stress baby turn off the light Baby back it up do nt turn up the fight Turn off the light my girl say you re fine I need that energy I need that energy tonight Gyal keep it cold and bun up the vibe Say me no gon live tonight girl turn up the vibe Say me no gwaan fight every day Love it when we play love it when we yeah yeah Say me wan vibe on replay Leave me dumb crazy love me baby yeah yeah Melatonin baby take it this time We do nt wan na end up hurtin tomorrow Long term or temporary I ca nt decide How much of my love can you borrow Tighten up baby yes I fell for you almost Tried my best to build you up from the bottom I m callin it quits Leave that for my ex We flipped the whole script I could nt even risk it I do nt give hints Goodbye she was gone by six I could nt read lips It s hard when I m twisted
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,"Only You (feat. WizKid, Offset & J Balvin)",3XFwOQU8wxXWl8Rxj3lrOi, When I touch her body lips drop Please hold me tighter be feelin so lonely When you know the deal me say gyal I know girl I are be feelin so lonely Said it s only you that make me feel this type of feeling you on me Girl it s me who be your side Girl it s me who be your life See that sexy sexy wine it up for me oh Sexy sexy wine it up for me oh See that sexy sexy wine it up for me oh Sexy sexy wine it up for me oh yeah yeah I m bad for you only you Yeah I m bad for you said only you Hey Yeah I m bad for you but only you Girl I m bad for you said only you yeah Offset Like how she pop it like whoa whoa whoa Like how she pop it like whoa whoa Like how she pop it like whoa whoa whoa Like how she pop it like whoa whoa Like how she pop it like whoa whoa whoa Like how she pop it like whoa Like how she pop it like whoa whoa whoa Like how she pop it like whoa I want you to ride me just like a roller coaster She poppin that rocket I cop the holy ghost I m Tony Montana with these Louis loafers She turn to a animal when she take her clothes off Cash money baby get your roll on Fast money when she on the pole huh Bend it over yeah touch your toes huh Diamond chokers on me you gon notice Let me eat it up just like a cold cut Gon and kiss it let the water fall off Facetime with the dick call on Got it shakin in the buildin hold on Tu eres sexy sexy ven baila pa mi Tu eres sexy sexy estas echa pa mi Tu eres sexy sexy de donde es que te v No te vayas baby ven quedate aqui Yeah yeah I m bad for you ir por ti Only for you solo por ti Yeah I m bad for you and only you I m bad for you ir por ti Only for you solo por ti Girl I m bad for you only you Solo dime pa mi tu eres un crimen Tu entra con un flow terrible Y me fundes to lo fusibles Dime cuanto gasto pa mi mucho no es tanto Ando volando alto Y yo no fumo pasto Es que me tienen mal a mi Ya no se ni que decir Yo ando aqui esperando un si desde hace rato Vamos a hacer un trato dime cuanto gasto Pa mi mucho no es tanto Ando volando alto y yo no fumo pasto Sexy sexy wine it up for me ohh Sexy sexy wine it up for me ohh Tu eres sexy sexy estas echa pa mi Tu eres sexy sexy de donde es que te vi No te vayas baby ven quedate aqui I m bad for you ire por ti Only you solo por ti Yeah I m bad for you and only you I m bad for you but only you Only for you solo por ti Girl I m bad for you only you Like how she pop it like whoa whoa whoa Like how she pop it like whoa whoa Like how she pop it like whoa whoa whoa Like how she pop it like whoa whoa whoa Like how she pop it like whoa whoa Like how she pop it like whoa whoa whoa
Metro Boomin,0iEtIxbK0KxaSlF7G42ZOp,Ghostface Killers,5u6vkDnOyaf8LsteDAj2ub, Metro Boomin want some more nigga Automatic Auto automatics in the trunk Shoot the maggots shoot the maggots with the pump Thot and addy Thot love the Patek on my arm Patek We got static Static pussy nigga run your charm Hey Ghostface killers Killers WuTang 21 news gang News Drug dealers in the Mulsanne at the top of the food chain Hey Trappin the cocaine Yeah no gang shooter with no name We can play toll games the whole gang kick in your door man Yeah put on the Patek poppin xannys I m an addict Break the mattress with a baddie on the addy Smash Diamonds glassy need some glasses for the flashing yeah Michael Jackson with this fashion bitch I m dabbin yeah All of this shit on purpose got these bitches slurpin All your pockets on hurting nigga you can be my servant Go to the lot and young nigga do nt lease it I purchase After I cut off a thot I give her some money for service Here Wherever I go the whole gang on go yeah Gang You can not tame the ho because you want fame for sure Tame You think that you rich cause you got a hundred or more I got an over overload look like I just sold my soul I pour up a four a liter I got the stripes Adidas Stripes I got a foreign mamacita and I been known to beat it Mama Niggas ai nt goin defeated we get the guns immediate Do nt burn in the coupe it s an Italy These niggas is broke and it s pitiful Automatic Auto automatics in the trunk Shoot the maggots shoot the maggots with the pump Thot and addy Thot love the Patek on my arm Patek We got static static pussy nigga run your charm Hey Ghostface killers Killers WuTang 21 news gang News Drug dealers in the Mulsanne at the top of the food chain Hey Trappin the cocaine Yeah no gang shooter with no name We can play toll games the whole gang kick in your door man Yeah Kim Jong yeah big bombs 21 Wonder Bread man make your bitch lick crumbs Yeah Audemars Piguet flooded got my wrist numb Bling Grab the hitstick nigga tryna blitz some Dope boy dope boy I sell coke boy 21 You broke ass rappers food it s a po boy 21 Everybody the same all these niggas sound alike Dick riders Fox 5 gang turn you to a candlelight Bitch boy I m a mobster shrimp in my pasta Jamaican Don Dada hang round the shottas Mad Max nigga yeah I hang with the killers 21 Planet of the Apes yeah I hang around gorillas On god I got AK SK HK broad day 21 You a fuckboy we ai nt with the horseplay Bitch Shrimp ass nigga did you do your chores today 21 Do you wan na take a ride with the coroner today 21 Automatic Auto automatics in the trunk Shoot the maggots shoot the maggots with the pump Thot and addy Thot love the Patek on my arm Patek We got static Static pussy nigga run your charm Hey Ghostface killers Killers WuTang 21 news gang News Drug dealers in the Mulsanne at the top of the food chain Hey Trappin the cocaine Yeah no gang shooter with no name We can play toll games the whole gang kick in your door man Drop from the heavens straight in the wild Yeah Trunk in the front top got ta slide Ride suicides we keep this shit alive Yeah Jumping out the public houses do nt you come outside Straight up Private status tryna land the jet at Magic How you goin it s lit Goin way up out my way to cut the traffic What you poppin Pop the seal and pop the bean I need the balance Pop it pop it Bloody ass is what I m seeing it s way too graphic Watch your fingers cause the Cactus dangerous Yeah Broke you ai nt us we do nt speak that language On the couches Tom Cruise Ima make her see she snort a mountain Rackades on the outfit will make her bounce it Good drank my life yeah CPR my pipe yeah Please need the energy only got a night yeah It s lit Nike boys we do nt do three stripes Yeah I m living for my niggas that do life yeah Automatic Auto automatics in the trunk Shoot the maggots shoot the maggots with the pump Thot and addy Thot love the Patek on my arm Patek We got static Static pussy nigga run your charm Hey Ghostface killers Killers WuTang 21 news gang News Drug dealers in the Mulsanne at the top of the food chain Hey Trappin the cocaine Yeah no gang shooter with no name We can play toll games the whole gang kick in your door man
